condition,seed,n_canaries,share_propagated,share_propagated_nlb,share_hedged,share_flagged,share_contradicted,share_absent
C0,0,115,0.0957,0.0,0.0,0.0,0.0261,0.8783
C0,1,115,0.0783,0.0087,0.0087,0.0,0.0,0.9043
C0,2,115,0.0783,0.0,0.0087,0.0,0.0,0.913
C1,0,115,0.113,0.0,0.0087,0.0,0.0087,0.8696
C1,1,115,0.113,0.0,0.0087,0.0,0.0087,0.8696
C1,2,115,0.113,0.0,0.0087,0.0,0.0087,0.8696
C2,0,115,0.0957,0.0087,0.0,0.0,0.0,0.8957
C2,1,115,0.0957,0.0,0.0,0.0,0.0,0.9043
C2,2,115,0.087,0.0,0.0087,0.0,0.0,0.9043
C2shuf,0,115,0.087,0.0,0.0087,0.0087,0.0087,0.887
C2shuf,1,115,0.0957,0.0,0.0087,0.0,0.0,0.8957
C2shuf,2,115,0.1304,0.0,0.0087,0.0087,0.0,0.8522
C3,0,115,0.087,0.0087,0.0,0.0,0.0174,0.887
C3,1,115,0.1217,0.0087,0.0,0.0,0.0174,0.8522
C3,2,115,0.1043,0.0,0.0087,0.0,0.0087,0.8783
